UserID,UserToken,Gate,Section,Score,Yes,No,Total,SessionDate
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,1,a1385,-56.4441153617962,10,0,10,2026-01-31
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,2,a1383,-37.0932936505602,10,0,10,2026-01-31
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,1,a1381,71.902373992203,10,0,10,2026-02-15
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,3,b1178,48.4282652238469,10,0,10,2026-02-16
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,4,a1163,77.2911990228818,10,0,10,2026-02-17
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,5,a1165,-1.0165871443907,10,0,10,2026-02-18
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,6,b1154,0,0,10,10,2026-02-19
697e393fb4bc909da3047a94,333f3d6b-6b70-47aa-a999-1ca4cfe4d2fe,6,a1249,0,0,10,10,2026-02-19
697f84d1f3483b3eaa36da9a,047a95cf-81b7-484a-b6f0-92644a565232,1,a1377,-52.5596955394805,9,1,10,2026-02-01
697f84d1f3483b3eaa36da9a,047a95cf-81b7-484a-b6f0-92644a565232,2,a1383,-37.0932936505602,10,0,10,2026-02-01
697f84d1f3483b3eaa36da9a,047a95cf-81b7-484a-b6f0-92644a565232,3,a1381,71.902373992203,10,0,10,2026-02-01
697f84d1f3483b3eaa36da9a,047a95cf-81b7-484a-b6f0-92644a565232,4,a1379,-1.74963206541939,10,0,10,2026-02-01
697f84d1f3483b3eaa36da9a,047a95cf-81b7-484a-b6f0-92644a565232,5,b1378,49.9588705154382,10,0,10,2026-02-01
