UserID,UserToken,Gate,Section,Score,Yes,No,Total,SessionDate
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a727,-55.8263465957969,0,10,10,2026-03-20
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a735,1.86185402241888,5,5,10,2026-03-20
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a739,-56.9410325392117,8,2,10,2026-03-20
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,2,b740,-17.1839045096281,9,1,10,2026-03-20
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a741,83.743614375086,9,1,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2563,-16.507194678,9,1,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2600,18.617320252,10,0,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2601,48.1859504169999,10,0,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2607,46.844699429,9,1,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2613,24.548834155,10,0,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2634,6.02819077999999,10,0,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2636,7.41659487399999,8,2,10,2026-03-25
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2639,66.627351916,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2641,46.968977965,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2647,-17.969078685,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2649,-47.145885352,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2650,21.105485084,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2651,-57.221937139,9,1,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2652,27.738607399,6,4,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2657,4.62403017499999,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2658,-1.639546356,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2659,38.576838117,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2660,10.727271701,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2661,134.952842273,8,2,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2662,21.124419272,9,1,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2663,31.067312865,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2664,-26.954858889,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2665,231.334959865,7,3,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2666,-23.950418212,9,1,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2667,-39.380960752,8,2,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2668,52.211785125,5,5,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2669,94.942597202,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2670,105.397605733,6,4,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2671,-82.246280523,10,0,10,2026-03-26
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2672,-11.333818911,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2673,7.59281308899999,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2674,37.26841215,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2675,-64.350143137,9,1,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2678,-37.419744745,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2679,-37.7372495260001,7,3,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2680,-12.897382657,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2681,-8.03049291199997,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2683,48.283952034,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2684,0,0,10,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2685,38.685672681,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2686,60.990589234,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2687,-18.679083374,1,9,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2696,25.965118038,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2697,-46.914004672,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2698,-3.69838131699998,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2699,-17.388351413,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2700,41.571415976,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2701,22.359998014,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2702,-23.395744779,5,5,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2703,-118.304558799,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2704,-13.825047282,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2705,-24.759473321,8,2,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2706,-12.204137538,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2707,18.947387967,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2708,-69.530339719,8,2,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2709,-80.968955846,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,b2710,-25.876430502,10,0,10,2026-03-27
69bd8c3cd6a0ac3b093955db,7365b037-89fb-4800-b728-c32e695975f8,1,a2711,23.403043552,10,0,10,2026-03-27
